,Area,Country,Year,Percent_gdp,constant_usd,usd_per_capita
103,Western Europe,Austria,1993,1.12,3.3325,268.0
104,Western Europe,Belgium,1993,1.74,5.985600000000001,370.2
105,Western Europe,Cyprus,1993,4.07,0.42360000000000003,327.6
106,Western Europe,Denmark,1993,1.91,4.2109,516.7
107,Western Europe,Finland,1993,1.87,2.5437,318.5
108,Western Europe,France,1993,2.69,50.685300000000005,623.6
109,Western Europe,Germany,1993,1.69,49.719199999999994,435.5
110,Western Europe,Greece,1993,3.6,5.5058,319.4
111,Western Europe,Iceland,1993,,0.0,
112,Western Europe,Ireland,1993,1.14,0.9462,168.5
113,Western Europe,Italy,1993,1.79,28.5653,318.9
114,Western Europe,Luxembourg,1993,0.71,0.1555,246.0
115,Western Europe,Malta,1993,1.0,0.0444,66.4
116,Western Europe,Netherlands,1993,2.03,11.3081,462.1
117,Western Europe,Norway,1993,2.69,4.1404,735.6
118,Western Europe,Portugal,1993,2.37,3.5414,219.3
119,Western Europe,Spain,1993,2.01,15.9079,254.0
120,Western Europe,Sweden,1993,2.26,5.5468,543.3
121,Western Europe,Switzerland,1993,1.37,6.521,525.7
122,Western Europe,United Kingdom,1993,3.59,55.7315,661.7
123,Central Europe,Albania,1994,2.55,0.1381,15.8
124,Central Europe,Bosnia and Herzegovina,1994,,,
125,Central Europe,Bulgaria,1994,2.49,0.8844,28.6
126,Central Europe,Croatia,1994,11.15,2.7959,348.9
127,Central Europe,Czechia,1994,2.28,2.7178,90.6
128,Central Europe,Estonia,1994,1.04,0.0887,17.3
129,Central Europe,Hungary,1994,1.82,1.4512,73.1
130,Central Europe,Kosovo,1994,,,
131,Central Europe,Latvia,1994,0.84,0.10679999999999999,13.3
132,Central Europe,Lithuania,1994,0.49,0.0902,5.8
133,Central Europe,North Macedonia,1994,,,
134,Central Europe,Montenegro,1994,,,
135,Central Europe,Poland,1994,2.27,4.718,58.7
136,Central Europe,Romania,1994,3.11,2.2937,40.5
137,Central Europe,Serbia,1994,,,
138,Central Europe,Slovakia,1994,1.94,1.066,55.9
139,Central Europe,Slovenia,1994,1.65,0.4098,119.3
140,Eastern Europe,Belarus,1994,3.62,0.32789999999999997,
141,Eastern Europe,Moldova,1994,0.77,0.0322,
142,Eastern Europe,Russia,1994,4.52,36.036,91.3
143,Eastern Europe,Ukraine,1994,1.8,1.1949,13.4
144,Western Europe,Austria,1994,1.09,3.3472,280.3
145,Western Europe,Belgium,1994,1.68,5.9529,388.4
146,Western Europe,Cyprus,1994,4.02,0.44539999999999996,356.6
147,Western Europe,Denmark,1994,1.77,4.105600000000001,521.7
148,Western Europe,Finland,1994,1.76,2.5018000000000002,344.6
149,Western Europe,France,1994,2.66,50.9461,647.5
150,Western Europe,Germany,1994,1.55,46.368300000000005,423.1
151,Western Europe,Greece,1994,3.58,5.6006,337.0
152,Western Europe,Iceland,1994,,0.0,
153,Western Europe,Ireland,1994,1.11,0.9676,177.6
154,Western Europe,Italy,1994,1.71,27.859099999999998,315.7
155,Western Europe,Luxembourg,1994,0.74,0.1715,283.2
156,Western Europe,Malta,1994,1.02,0.0476,74.5
157,Western Europe,Netherlands,1994,1.91,10.905,464.4
158,Western Europe,Norway,1994,2.73,4.3535,783.8
159,Western Europe,Portugal,1994,2.23,3.4452,216.4
160,Western Europe,Spain,1994,2.0,16.0721,254.5
161,Western Europe,Sweden,1994,2.13,5.4552,547.7
162,Western Europe,Switzerland,1994,1.33,6.4618,562.0
163,Western Europe,United Kingdom,1994,3.38,54.1982,667.7
164,Central Europe,Albania,1995,2.05,0.12869999999999998,16.4
165,Central Europe,Bosnia and Herzegovina,1995,,,
166,Central Europe,Bulgaria,1995,2.37,0.8707,37.1
167,Central Europe,Croatia,1995,9.32,2.9736,446.3
168,Central Europe,Czechia,1995,1.84,2.6064000000000003,102.9
169,Central Europe,Estonia,1995,0.96,0.0879,25.4
170,Central Europe,Hungary,1995,1.32,1.093,59.2
171,Central Europe,Kosovo,1995,,,
172,Central Europe,Latvia,1995,0.81,0.1035,17.4
173,Central Europe,Lithuania,1995,0.45,0.09390000000000001,8.4
174,Central Europe,North Macedonia,1995,,,
175,Central Europe,Montenegro,1995,,,
176,Central Europe,Poland,1995,1.96,4.7475,70.7
177,Central Europe,Romania,1995,2.61,2.2365,42.8
178,Central Europe,Serbia,1995,,,
179,Central Europe,Slovakia,1995,3.15,1.8879000000000001,117.1
180,Central Europe,Slovenia,1995,1.57,0.4673,168.1
181,Eastern Europe,Belarus,1995,1.7,0.12940000000000002,17.8
182,Eastern Europe,Moldova,1995,0.93,0.040600000000000004,3.1
183,Eastern Europe,Russia,1995,3.78,23.7103,86.0
184,Eastern Europe,Ukraine,1995,2.04,1.2851,15.3
185,Western Europe,Austria,1995,1.07,3.3178,320.1
186,Western Europe,Belgium,1995,1.57,5.831300000000001,436.8
187,Western Europe,Cyprus,1995,3.04,0.3994,349.5
188,Western Europe,Denmark,1995,1.69,4.0619000000000005,595.8
189,Western Europe,Finland,1995,1.42,2.251,372.9
190,Western Europe,France,1995,2.49,48.424099999999996,694.2
191,Western Europe,Germany,1995,1.5,45.6053,477.5
192,Western Europe,Greece,1995,3.17,5.7204,389.0
193,Western Europe,Iceland,1995,,0.0,
194,Western Europe,Ireland,1995,1.01,0.9755,195.4
195,Western Europe,Italy,1995,1.47,25.4438,300.6
196,Western Europe,Luxembourg,1995,0.6,0.1674,315.0
197,Western Europe,Malta,1995,0.84,0.0476,82.6
198,Western Europe,Netherlands,1995,1.79,10.5954,517.9
199,Western Europe,Norway,1995,2.31,3.9316,803.3
200,Western Europe,Portugal,1995,2.26,3.7,264.6
201,Western Europe,Spain,1995,1.92,16.1996,287.5
202,Western Europe,Sweden,1995,1.75,4.75,526.6
203,Western Europe,Switzerland,1995,1.36,6.5381,664.0
204,Western Europe,United Kingdom,1995,2.85,50.8345,661.0
205,Central Europe,Albania,1996,1.38,0.1156,14.8
206,Central Europe,Bosnia and Herzegovina,1996,,,
207,Central Europe,Bulgaria,1996,2.4,0.7143999999999999,25.8
208,Central Europe,Croatia,1996,8.29,2.787,423.8
209,Central Europe,Czechia,1996,1.73,2.5858000000000003,108.6
210,Central Europe,Estonia,1996,0.87,0.0855,29.2
211,Central Europe,Hungary,1996,1.26,1.0279,56.6
212,Central Europe,Kosovo,1996,,,
213,Central Europe,Latvia,1996,0.64,0.0804,15.4
214,Central Europe,Lithuania,1996,0.5,0.1046,11.7
215,Central Europe,North Macedonia,1996,2.81,0.1487,65.7
216,Central Europe,Montenegro,1996,,,
217,Central Europe,Poland,1996,1.97,4.9959,80.1
218,Central Europe,Romania,1996,2.37,2.1735,38.3
219,Central Europe,Serbia,1996,3.51,1.109,
220,Central Europe,Slovakia,1996,2.97,1.8762,119.1
221,Central Europe,Slovenia,1996,1.54,0.479,165.9
222,Eastern Europe,Belarus,1996,1.26,0.0993,18.2
223,Eastern Europe,Moldova,1996,0.91,0.038799999999999994,3.6
224,Eastern Europe,Russia,1996,3.76,22.388,106.9
225,Eastern Europe,Ukraine,1996,2.19,1.1467,20.0
226,Western Europe,Austria,1996,1.05,3.2866999999999997,306.5
227,Western Europe,Belgium,1996,1.54,5.7204,415.5
228,Western Europe,Cyprus,1996,4.52,0.5993999999999999,513.3
229,Western Europe,Denmark,1996,1.64,4.0748,587.3
230,Western Europe,Finland,1996,1.53,2.4922,393.6
231,Western Europe,France,1996,2.41,47.2722,671.9
232,Western Europe,Germany,1996,1.47,44.7136,451.3
233,Western Europe,Greece,1996,3.31,6.0631,425.9
234,Western Europe,Iceland,1996,,0.0,
235,Western Europe,Ireland,1996,0.99,1.0275999999999998,207.5
236,Western Europe,Italy,1996,1.59,28.036,364.4
237,Western Europe,Luxembourg,1996,0.59,0.1729,308.8
238,Western Europe,Malta,1996,0.87,0.0509,87.6
239,Western Europe,Netherlands,1996,1.76,10.6463,503.1
240,Western Europe,Norway,1996,2.16,3.9855,805.1
241,Western Europe,Portugal,1996,2.12,3.5693,256.6
242,Western Europe,Spain,1996,1.81,15.6882,283.0
243,Western Europe,Sweden,1996,1.48,4.1061000000000005,485.6
244,Western Europe,Switzerland,1996,1.28,6.1867,602.4
245,Western Europe,United Kingdom,1996,2.72,50.3485,663.6
246,Central Europe,Albania,1997,1.28,0.08070000000000001,9.6
247,Central Europe,Bosnia and Herzegovina,1997,,,
248,Central Europe,Bulgaria,1997,2.43,0.667,29.8
249,Central Europe,Croatia,1997,8.94,2.8116,396.6
250,Central Europe,Czechia,1997,1.66,2.4451,95.6
251,Central Europe,Estonia,1997,1.05,0.1141,37.6
252,Central Europe,Hungary,1997,1.48,1.2643,67.5
253,Central Europe,Kosovo,1997,,,
254,Central Europe,Latvia,1997,0.58,0.07790000000000001,15.5
255,Central Europe,Lithuania,1997,0.75,0.1718,21.1
256,Central Europe,North Macedonia,1997,2.13,0.117,41.6
257,Central Europe,Montenegro,1997,,,
258,Central Europe,Poland,1997,2.03,5.4746999999999995,82.8
259,Central Europe,Romania,1997,3.02,2.437,47.5
260,Central Europe,Serbia,1997,3.79,1.2309,93.4
261,Central Europe,Slovakia,1997,2.28,1.5092999999999999,92.7
262,Central Europe,Slovenia,1997,1.4,0.4596,146.3
263,Eastern Europe,Belarus,1997,1.77,0.1625,24.9
264,Eastern Europe,Moldova,1997,0.9,0.0395,4.1
265,Eastern Europe,Russia,1997,4.04,24.476200000000002,119.0
266,Eastern Europe,Ukraine,1997,2.79,1.4450999999999998,28.9
267,Western Europe,Austria,1997,1.05,3.2941,269.5
268,Western Europe,Belgium,1997,1.48,5.6485,360.3
269,Western Europe,Cyprus,1997,5.57,0.7601,599.5
270,Western Europe,Denmark,1997,1.62,4.127,531.3
271,Western Europe,Finland,1997,1.54,2.6804,377.9
272,Western Europe,France,1997,2.38,47.443,596.0
273,Western Europe,Germany,1997,1.41,43.0631,384.1
274,Western Europe,Greece,1997,3.37,6.4611,419.4
275,Western Europe,Iceland,1997,,0.0,
276,Western Europe,Ireland,1997,0.92,1.0886,209.6
277,Western Europe,Italy,1997,1.63,29.397299999999998,354.2
278,Western Europe,Luxembourg,1997,0.61,0.18669999999999998,288.4
279,Western Europe,Malta,1997,0.82,0.0495,81.1
280,Western Europe,Netherlands,1997,1.66,10.541799999999999,436.9
281,Western Europe,Norway,1997,2.02,3.9193000000000002,736.0
282,Western Europe,Portugal,1997,2.04,3.6408,234.8
283,Western Europe,Spain,1997,1.72,15.5349,246.4
284,Western Europe,Sweden,1997,1.91,5.4902,573.4
285,Western Europe,Switzerland,1997,1.22,5.9633,494.9
286,Western Europe,United Kingdom,1997,2.56,48.5606,684.1
287,Central Europe,Albania,1998,1.24,0.07629999999999999,10.8
288,Central Europe,Bosnia and Herzegovina,1998,,,
289,Central Europe,Bulgaria,1998,2.45,0.7713,39.4
290,Central Europe,Croatia,1998,6.6,2.1677,317.7
291,Central Europe,Czechia,1998,1.83,2.654,113.0
292,Central Europe,Estonia,1998,1.07,0.12079999999999999,42.6
293,Central Europe,Hungary,1998,1.27,1.1297000000000001,60.2
294,Central Europe,Kosovo,1998,,,
295,Central Europe,Latvia,1998,0.59,0.0839,17.4
296,Central Europe,Lithuania,1998,1.23,0.2988,38.9
297,Central Europe,North Macedonia,1998,2.1,0.1202,39.3
298,Central Europe,Montenegro,1998,,,
299,Central Europe,Poland,1998,2.02,5.6857,90.5
300,Central Europe,Romania,1998,3.0,2.2134,55.8
301,Central Europe,Serbia,1998,3.51,1.1267,66.3
302,Central Europe,Slovakia,1998,1.74,1.1804000000000001,73.7
303,Central Europe,Slovenia,1998,1.36,0.459,151.6
304,Eastern Europe,Belarus,1998,1.5,0.15209999999999999,22.8
305,Eastern Europe,Moldova,1998,0.62,0.026,2.5
306,Eastern Europe,Russia,1998,2.73,14.5558,54.0
307,Eastern Europe,Ukraine,1998,2.11,1.082,18.3
308,Western Europe,Austria,1998,1.02,3.3030999999999997,268.6
309,Western Europe,Belgium,1998,1.46,5.6469,357.9
310,Western Europe,Cyprus,1998,4.68,0.6785,532.2
311,Western Europe,Denmark,1998,1.61,4.1726,537.0
312,Western Europe,Finland,1998,1.46,2.7389,379.5
313,Western Europe,France,1998,2.23,46.182,575.5
314,Western Europe,Germany,1998,1.39,43.211800000000004,383.3
315,Western Europe,Greece,1998,3.53,7.0406,439.8
316,Western Europe,Iceland,1998,,0.0,
317,Western Europe,Ireland,1998,0.82,1.0977999999999999,201.3
318,Western Europe,Italy,1998,1.64,30.369799999999998,367.0
319,Western Europe,Luxembourg,1998,0.64,0.2003,303.6
320,Western Europe,Malta,1998,0.73,0.045399999999999996,75.1
321,Western Europe,Netherlands,1998,1.58,10.5065,434.1
322,Western Europe,Norway,1998,2.16,4.1789,747.7
323,Western Europe,Portugal,1998,1.88,3.5655,228.7
324,Western Europe,Spain,1998,1.76,16.3034,257.0
325,Western Europe,Sweden,1998,1.87,5.6763,567.7
326,Western Europe,Switzerland,1998,1.18,5.9493,492.7
327,Western Europe,United Kingdom,1998,2.5,48.719300000000004,704.5
328,Central Europe,Albania,1999,1.25,0.0884,13.7
329,Central Europe,Bosnia and Herzegovina,1999,,,
330,Central Europe,Bulgaria,1999,2.65,0.8746,44.3
331,Central Europe,Croatia,1999,4.43,1.6905,232.5
332,Central Europe,Czechia,1999,1.86,2.8777,117.0
333,Central Europe,Estonia,1999,1.29,0.1502,52.6
334,Central Europe,Hungary,1999,1.43,1.2911,68.6
335,Central Europe,Kosovo,1999,,,
336,Central Europe,Latvia,1999,0.75,0.10909999999999999,23.5
337,Central Europe,Lithuania,1999,0.97,0.2286,30.2
338,Central Europe,North Macedonia,1999,1.71,0.1067,32.7
339,Central Europe,Montenegro,1999,,,
340,Central Europe,Poland,1999,1.9,5.597899999999999,83.7
341,Central Europe,Romania,1999,2.64,1.9975,42.8
342,Central Europe,Serbia,1999,4.01,1.0560999999999998,77.0
343,Central Europe,Slovakia,1999,1.57,1.0312999999999999,60.6
344,Central Europe,Slovenia,1999,1.21,0.4317,138.3
345,Eastern Europe,Belarus,1999,1.37,0.1522,16.7
346,Eastern Europe,Moldova,1999,0.51,0.0206,1.4
347,Eastern Europe,Russia,1999,3.07,16.1645,44.0
348,Eastern Europe,Ukraine,1999,1.9,1.0121,12.6
349,Western Europe,Austria,1999,0.98,3.3706,263.9
350,Western Europe,Belgium,1999,1.39,5.7205,350.9
351,Western Europe,Cyprus,1999,2.73,0.41960000000000003,313.1
352,Western Europe,Denmark,1999,1.56,4.1471,523.3
353,Western Europe,Finland,1999,1.22,2.3861999999999997,319.5
354,Western Europe,France,1999,2.18,46.5705,556.6
355,Western Europe,Germany,1999,1.4,44.0854,377.1
356,Western Europe,Greece,1999,3.36,7.3711,454.5
357,Western Europe,Iceland,1999,,0.0,
358,Western Europe,Ireland,1999,0.75,1.1356,198.7
359,Western Europe,Italy,1999,1.68,31.5577,370.9
360,Western Europe,Luxembourg,1999,0.57,0.2032,294.8
361,Western Europe,Malta,1999,0.68,0.0439,71.6
362,Western Europe,Netherlands,1999,1.59,11.0225,443.7
363,Western Europe,Norway,1999,2.04,4.1998,739.7
364,Western Europe,Portugal,1999,1.89,3.7506,234.7
365,Western Europe,Spain,1999,1.76,17.9162,274.7
366,Western Europe,Sweden,1999,1.87,5.9249,572.6
367,Western Europe,Switzerland,1999,1.09,5.5068,442.3
368,Western Europe,United Kingdom,1999,2.42,48.4596,694.2
369,Central Europe,Albania,2000,1.25,0.0978,14.5
370,Central Europe,Bosnia and Herzegovina,2000,,,
371,Central Europe,Bulgaria,2000,2.67,0.9016000000000001,43.9
372,Central Europe,Croatia,2000,3.03,1.1979000000000002,149.0
373,Central Europe,Czechia,2000,1.88,2.9714,112.5
374,Central Europe,Estonia,2000,1.38,0.1772,56.0
375,Central Europe,Hungary,2000,1.51,1.4247999999999998,70.0
376,Central Europe,Kosovo,2000,,,
377,Central Europe,Latvia,2000,0.88,0.1363,29.4
378,Central Europe,Lithuania,2000,1.22,0.2985,40.1
379,Central Europe,North Macedonia,2000,1.85,0.1222,34.3
380,Central Europe,Montenegro,2000,,,
381,Central Europe,Poland,2000,1.83,5.4411000000000005,81.6
382,Central Europe,Romania,2000,2.5,1.9013,42.3
383,Central Europe,Serbia,2000,5.15,1.5279,35.5
384,Central Europe,Slovakia,2000,1.66,1.0719,63.4
385,Central Europe,Slovenia,2000,1.09,0.39289999999999997,111.9
386,Eastern Europe,Belarus,2000,1.35,0.1686,14.2
387,Eastern Europe,Moldova,2000,0.39,0.0158,1.2
388,Eastern Europe,Russia,2000,3.31,21.8096,63.0
389,Eastern Europe,Ukraine,2000,2.15,1.1664,14.3
390,Western Europe,Austria,2000,0.98,3.4519,238.6
391,Western Europe,Belgium,2000,1.34,5.7201,310.3
392,Western Europe,Cyprus,2000,2.82,0.44789999999999996,298.2
393,Western Europe,Denmark,2000,1.46,4.0116,448.0
394,Western Europe,Finland,2000,1.24,2.5228,300.3
395,Western Europe,France,2000,2.09,46.043699999999994,481.3
396,Western Europe,Germany,2000,1.36,43.389900000000004,325.5
397,Western Europe,Greece,2000,3.47,7.7797,411.9
398,Western Europe,Iceland,2000,,0.0,
399,Western Europe,Ireland,2000,0.7,1.1650999999999998,183.6
400,Western Europe,Italy,2000,1.74,33.6626,350.6
401,Western Europe,Luxembourg,2000,0.54,0.2075,265.4
402,Western Europe,Malta,2000,0.63,0.0427,64.4
403,Western Europe,Netherlands,2000,1.43,10.583200000000001,375.0
404,Western Europe,Norway,2000,1.71,4.0604000000000005,649.6
405,Western Europe,Portugal,2000,1.86,3.8624,214.1
406,Western Europe,Spain,2000,1.73,18.5162,251.7
407,Western Europe,Sweden,2000,1.82,6.105899999999999,536.4
408,Western Europe,Switzerland,2000,1.03,5.424600000000001,392.0
409,Western Europe,United Kingdom,2000,2.37,49.435300000000005,667.7
410,Central Europe,Albania,2001,1.31,0.11109999999999999,17.0
411,Central Europe,Bosnia and Herzegovina,2001,,,
412,Central Europe,Bulgaria,2001,2.88,0.9985,51.2
413,Central Europe,Croatia,2001,2.7,1.1098,142.8
414,Central Europe,Czechia,2001,1.75,2.8586,115.1
415,Central Europe,Estonia,2001,1.5,0.2067,67.4
416,Central Europe,Hungary,2001,1.57,1.565,82.9
417,Central Europe,Kosovo,2001,,,
418,Central Europe,Latvia,2001,1.04,0.171,36.9
419,Central Europe,Lithuania,2001,1.36,0.35,48.0
420,Central Europe,North Macedonia,2001,6.1,0.3887,110.8
421,Central Europe,Montenegro,2001,,,
422,Central Europe,Poland,2001,1.91,5.6113,94.2
423,Central Europe,Romania,2001,2.42,1.994,44.8
424,Central Europe,Serbia,2001,4.03,1.2166,52.5
425,Central Europe,Slovakia,2001,1.84,1.2074,73.0
426,Central Europe,Slovenia,2001,1.3,0.4825,136.6
427,Eastern Europe,Belarus,2001,1.44,0.21,18.1
428,Eastern Europe,Moldova,2001,0.4,0.0174,1.4
429,Eastern Europe,Russia,2001,3.55,23.5697,80.1
430,Eastern Europe,Ukraine,2001,1.89,1.0957000000000001,15.3
431,Western Europe,Austria,2001,0.91,3.2164,220.9
432,Western Europe,Belgium,2001,1.28,5.4686,294.2
433,Western Europe,Cyprus,2001,3.15,0.5287999999999999,341.3
434,Western Europe,Denmark,2001,1.53,4.2601,471.3
435,Western Europe,Finland,2001,1.14,2.404,284.5
436,Western Europe,France,2001,2.03,45.9018,470.7
437,Western Europe,Germany,2001,1.32,42.6767,316.9
438,Western Europe,Greece,2001,3.25,7.6084,397.7
439,Western Europe,Iceland,2001,,0.0,
440,Western Europe,Ireland,2001,0.7,1.2642,199.8
441,Western Europe,Italy,2001,1.68,33.1098,343.2
442,Western Europe,Luxembourg,2001,0.68,0.2602,328.9
443,Western Europe,Malta,2001,0.67,0.0456,68.5
444,Western Europe,Netherlands,2001,1.44,10.862,387.1
445,Western Europe,Norway,2001,1.7,4.0870999999999995,655.8
446,Western Europe,Portugal,2001,1.91,4.0186,224.8
447,Western Europe,Spain,2001,1.63,18.3107,247.4
448,Western Europe,Sweden,2001,1.78,6.0436000000000005,481.4
449,Western Europe,Switzerland,2001,0.99,5.2976,385.0
450,Western Europe,United Kingdom,2001,2.41,51.3932,668.3
451,Central Europe,Albania,2002,1.32,0.11090000000000001,18.8
452,Central Europe,Bosnia and Herzegovina,2002,3.9,0.3723,64.1
453,Central Europe,Bulgaria,2002,2.8,1.0075,58.0
454,Central Europe,Croatia,2002,2.73,1.2006,166.9
455,Central Europe,Czechia,2002,1.82,3.0513000000000003,145.8
456,Central Europe,Estonia,2002,1.67,0.24680000000000002,88.3
457,Central Europe,Hungary,2002,1.59,1.709,106.1
458,Central Europe,Kosovo,2002,,,
459,Central Europe,Latvia,2002,1.54,0.2796,63.1
460,Central Europe,Lithuania,2002,1.27,0.3489,52.7
461,Central Europe,North Macedonia,2002,2.65,0.1688,51.9
462,Central Europe,Montenegro,2002,,,
463,Central Europe,Poland,2002,1.9,5.7077,98.1
464,Central Europe,Romania,2002,2.29,1.9833,48.3
465,Central Europe,Serbia,2002,4.21,1.3457000000000001,72.6
466,Central Europe,Slovakia,2002,1.78,1.2258,81.5
467,Central Europe,Slovenia,2002,1.39,0.5351,164.5
468,Eastern Europe,Belarus,2002,1.4,0.21830000000000002,21.0
469,Eastern Europe,Moldova,2002,0.42,0.020399999999999998,1.7
470,Eastern Europe,Russia,2002,3.76,26.1103,96.0
471,Eastern Europe,Ukraine,2002,1.98,1.2683,18.2
472,Western Europe,Austria,2002,0.88,3.1599,231.3
473,Western Europe,Belgium,2002,1.22,5.3027,303.6
474,Western Europe,Cyprus,2002,2.13,0.3615,248.2
475,Western Europe,Denmark,2002,1.51,4.2091,501.4
476,Western Europe,Finland,2002,1.15,2.4514,309.1
477,Western Europe,France,2002,2.05,46.8449,511.3
478,Western Europe,Germany,2002,1.33,42.7928,338.6
479,Western Europe,Greece,2002,3.08,7.4634,423.4
480,Western Europe,Iceland,2002,,0.0,
481,Western Europe,Ireland,2002,0.63,1.2141,207.6
482,Western Europe,Italy,2002,1.71,34.0148,377.9
483,Western Europe,Luxembourg,2002,0.59,0.2322,312.1
484,Western Europe,Malta,2002,0.64,0.045,71.2
485,Western Europe,Netherlands,2002,1.43,10.850100000000001,417.6
486,Western Europe,Norway,2002,2.08,4.9116,894.4
487,Western Europe,Portugal,2002,1.94,4.1283,250.6
